"team","mins"
"Nebraska",0.574778440635884
"Yale",0.704059619533242
"Tennessee Martin",0.334842869990624
"Morehead St.",0.204477313611833
"Tennessee",0.625036945512519
"Texas St.",0.478904219156169
"Jackson St.",0.347488013514297
"Mississippi",0.5906
"Wyoming",0.722787930673549
"Minnesota",0.781
"Illinois",0.363037445116395
"UTEP",0.734146829365873
"Loyola Chicago",0.764691812327507
"Texas",0.56106336198281
"Maryland Eastern Shore",0.554268396678168
"Western Illinois",0.646019500869662
"Fairleigh Dickinson",0.64361383170098
"Cornell",0.665179758606195
"Fort Wayne",0.6302
"West Virginia",0.531623111963558
"Oklahoma",0.785514205682273
"Southern Illinois",0.57656639228853
"San Diego St.",0.5560940899687
"Nebraska Omaha",0.494796380090498
"DePaul",0.633053221288515
"UT Rio Grande Valley",0.698280276353209
"Chicago St.",0.587281357310219
"South Dakota",0.78375675135027
"Montana St.",0.851054038267519
"Oklahoma St.",0.624091427549035
"Wagner",0.522781971102006
"Bethune Cookman",0.431768958755011
"Wofford",0.573285342931414
"Cal Poly",0.622043500339753
"Towson",0.77469012395042
"Delaware St.",0.470803190303726
"Norfolk St.",0.651714005876591
"Vermont",0.671655362398885
"Liberty",0.663251038489084
"Cal St. Bakersfield",0.49380519728064
"Presbyterian",0.660146035050426
"Boise St.",0.572695686562526
"East Carolina",0.461210240496509
"Northwestern",0.811144280634545
"College of Charleston",0.915983196639328
"Eastern Illinois",0.62252450490098
"Buffalo",0.527325023969319
"Northern Kentucky",0.7879480598446
"Valparaiso",0.50750150030006
"Elon",0.838649460271082
"Appalachian St.",0.682526989204318
"Cleveland St.",0.633382780601005
"St. John's",0.67993598719744
"Long Beach St.",0.421314191054666
"Samford",0.928992918961448
"Eastern Washington",0.652875869625483
"Kansas St.",0.585165933626549
"Pepperdine",0.291085693832062
"Grambling St.",0.333077541210283
"Texas Southern",0.490888358931216
"Central Connecticut",0.606315379577677
"VMI",0.414380731236963
"Auburn",0.501414058881239
"New Orleans",0.422518846001247
"Idaho St.",0.686526412457971
"Western Carolina",0.886048142548624
"Eastern Kentucky",0.671409267319265
"Penn",0.866126899671838
"South Carolina St.",0.534865134865135
"Idaho",0.811675329868053
"Stony Brook",0.614031581051369
"SIU Edwardsville",0.527091067056315
"Saint Peter's",0.356213728236942
"Virginia",0.585517103420684
"UCF",0.584904708258534
"Drexel",0.610829073594286
"Charleston Southern",0.586126962555848
"Northern Iowa",0.7047181480827
"South Carolina",0.343525179856115
"Lamar",0.79745256824479
"Kentucky",0.116176764647071
"Lafayette",0.829592196497826
"VCU",0.318391034620773
"Wisconsin",0.393648891551827
"Alabama",0.677264547090582
"Tennessee Tech",0.608663259970971
"NJIT",0.555600440319534
"IUPUI",0.50689489862102
"Alabama A&M",0.489821849390899
"Dartmouth",0.729562262642415
"La Salle",0.631229074676112
"Tulsa",0.688462307538492
