team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
Marshall,10.647,8.353,1.7757497717551392,4,C-USA,0.18000000000000013,0.06800000000000005,N
Charlotte,10,8,0.36583775177760103,5,C-USA,0.1340000000000001,0.036000000000000025,N
FIU,9,9,0.9758181541321189,6,C-USA,0.1300000000000001,0.048000000000000036,N
Old Dominion,9,9,0.5047937247654559,7,C-USA,0.10000000000000007,0.03400000000000002,N
UAB,9,9,-0.991023140743966,8,C-USA,0.07800000000000006,0.023000000000000013,N
ETSU,18.75,2.25,8.307372970127366,1,Southern,0.6660000000000005,0.3890000000000003,N
Furman,15,4,7.2793701507627215,2,Southern,0.5100000000000003,0.2890000000000002,N
UNC Greensboro,13,6,6.135311490728512,3,Southern,0.35000000000000026,0.16900000000000012,N
Wofford,11.25,10.75,1.5718161194321407,4,Southern,0.1470000000000001,0.04900000000000004,N
Chattanooga,11,9,1.995256412925734,5,Southern,0.16100000000000012,0.06100000000000005,N
Western Caro.,11,9,0.9595566009575496,6,Southern,0.08600000000000006,0.023000000000000013,N
Mercer,11,8,-1.480064608955403,7,Southern,0.05400000000000004,0.015000000000000006,N
VMI,4,16,-5.341807748465802,8,Southern,0.026000000000000016,0.005,N
Houston,13,5,15.41001451968224,1,AAC,0.5970000000000004,0.4290000000000003,N
Cincinnati,13,5,11.29772584809764,2,AAC,0.4150000000000003,0.17000000000000012,N
Tulsa,13,5,7.532118011314084,3,AAC,0.1540000000000001,0.04900000000000004,N
Wichita St.,11,7,11.974504864903816,4,AAC,0.24000000000000019,0.1320000000000001,N
Memphis,10,8,9.99843780783579,5,AAC,0.12600000000000008,0.060000000000000046,N
UConn,10,8,9.946117473372473,6,AAC,0.3010000000000002,0.11100000000000008,N
SMU,9,9,7.0032708957116,7,AAC,0.1300000000000001,0.03800000000000003,N
UCF,7,11,4.361259614184432,8,AAC,0.037000000000000026,0.011000000000000003,N
Wright St.,15.785,3.215,3.87375133249612,1,Horizon,0.7290000000000005,0.5160000000000003,N
Northern Ky.,13.68,5.32,0.5117032085156747,2,Horizon,0.5560000000000004,0.2660000000000002,N
Green Bay,11.32,7.68,-4.050944405417405,3,Horizon,0.21700000000000016,0.05600000000000004,N
UIC,10.215,8.785,-4.009077140402722,4,Horizon,0.1330000000000001,0.06400000000000004,N
Youngstown St.,10,8,-4.65268112725246,5,Horizon,0.11100000000000008,0.04000000000000003,N
Oakland,8,10,-5.526714200404232,6,Horizon,0.1420000000000001,0.03000000000000002,N
Milwaukee,7,11,-6.727312558222186,7,Horizon,0.08500000000000006,0.016000000000000007,N
Cleveland St.,7,11,-9.575012570873584,8,Horizon,0.027000000000000017,0.012000000000000004,N
Hofstra,15.67,4.33,3.6566433821710103,1,CAA,0.51900000000000035,0.36700000000000027,N
William & Mary,13,6,-1.8094104378362692,2,CAA,0.2670000000000002,0.08600000000000006,N
Delaware,12.33,7.67,-0.6553661456795385,3,CAA,0.22100000000000017,0.08700000000000006,N
Towson,12,7,0.4996603669378814,4,CAA,0.21500000000000016,0.11300000000000009,N
Col. of Charleston,11,8,0.308711763574232,5,CAA,0.20900000000000016,0.10800000000000008,N
